ticker,company_name
PERSISTENT,PERSISTENT SYSTEMS LTD
HINDZINC,HINDUSTAN ZINC LIMITED
DABUR,DABUR INDIA LTD
ELECTROSL,Electrosteel Steels
TATACOMM,TATA COMMUNICATIONS LTD
CESC,CESC LTD
SAIL,STEEL AUTHORITY OF INDIA
PROVOGE,Provogue India
BATAINDIA,BATA INDIA LTD
SINTEX, Sintex Industries 
MANYAVAR,VEDANT FASHIONS LIMITED
TECHM,TECH MAHINDRA LIMITED
MACROTECH,Macrotech Developers
KEI,KEI INDUSTRIES LTD.
AEGISCHEM,Aegis Logistics
NHPC,NHPC LTD
JINDALPOLY,JINDAL POLY FILMS LIMITED
NOIDATOLL,NOIDA TOLL BRIDGE CO LTD
MRF,MRF LTD
GSFC,GUJ STATE FERT & CHEM LTD
ENDURANCE,ENDURANCE TECHNO. LTD.
NAVKARCORP,NAVKAR CORPORATION LTD.
GRSE,GARDEN REACH SHIP&ENG LTD
INOXLEISUR,INOX Leisure
GUJGASLTD,GUJARAT GAS LIMITED
FCONSUMER,Future Consumer Ltd
SURANASOL,SURANA SOLAR LIMITED
VIDEOIND,"VIDEOIND.NS,0P0000AMCW,0"
SONATSOFTW,SONATA SOFTWARE LTD
POLYPLEX,POLYPLEX CORPORATION LTD
OFSS,ORACLE FIN SERV SOFT LTD.
PUNJLLOYD,Punj Lloyd
VBL,VARUN BEVERAGES LIMITED
BOSCHLTD,BOSCH LIMITED
SYMPHONY,SYMPHONY LIMITED
SHIRPUR-G,"SHIRPUR-G.NS,0P0000AHVM,0"
JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD
VOLTAS,VOLTAS LTD
IGL,INDRAPRASTHA GAS LTD
BPCL,BHARAT PETROLEUM CORP  LT
JSWENERGY,JSW ENERGY LIMITED
VICEROY,Viceroy Hotels
METALFORGE,Amtek Metal & Mining
MPHASIS,MPHASIS LIMITED
POLYCAB,POLYCAB INDIA LIMITED
CLEAN,CLEAN SCIENCE & TECH LTD
MTEDUCARE, MT EDUCARE LTD 
DCHL,Deccan Chronicle
COFORGE,COFORGE LIMITED
CENTURYPLY,CENTURY PLYBOARDS (I) LTD
FCONSUMER, FUTURE CONSUMER LIMITED 
SOMANYCERA,SOMANY CERAMICS LIMITED
MADHUCON,MADHUCON PROJECTS LTD.
ATUL,ATUL LTD
DLF,DLF LIMITED
PARSVNATH,PARSVNATH DEVELOPER LTD
APOLLOTYRE,APOLLO TYRES LTD
ROLTA,Rolta India 
JPINFRATEC,Jaypee Infratech
SADBHIN,Sadbhav Infrastructure Project Limited
AMBUJACEM,AMBUJA CEMENTS LTD
WIPRO,WIPRO LTD
SUNDRMFAST,SUNDRAM FASTENERS LTD
NATCOPHARM,NATCO PHARMA LTD.
MEDPLUS,MEDPLUS HEALTH SERV LTD
INFY,INFOSYS LIMITED
SIMPLEXINF,SIMPLEX INFRASTRUCTURES L
AUROPHARMA,AUROBINDO PHARMA LTD
IL&FSENGG,IL&FS ENG AND CONS CO LTD
GOCOLORS,GO FASHION INDIA LTD
LT,LARSEN & TOUBRO LTD.
GUJPIPAVAV,Gujarat Pipavav Port
WESTLIFE,WESTLIFE FOODWORLD LTD
UFO,UFO MOVIEZ INDIA LTD.
TULIP,Tulip Telecom
ABGSHIP,ABG Shipyard
KPTL,Kalpataru Projects
NATIONALUM,NATIONAL ALUMINIUM CO LTD
BALKRISIND,BALKRISHNA IND. LTD
KAJARIRAM,Kajaria Ceramics
JAYPEE,Jaypee Infratech
ZEEL,ZEE ENTERTAINMENT ENT LTD
GARFIBRES,GARWARE TECH FIBRES LTD
AIAENG,AIA ENGINEERING LIMITED
HAVELLS,HAVELLS INDIA LIMITED
ANSALAPI,ANSAL PROP & INFRA LTD
TATAPOWER,TATA POWER CO LTD
WELSPUNIND,Welspun India
GODREJCP,GODREJ CONSUMER PRODUCTS
SMLISUZU,SML Isuzu
AFFLE,AFFLE 3I LIMITED
WHIRLPOOL,WHIRLPOOL OF INDIA LTD
UNITECH,Unitech Ltd
EDUCOMP,Educomp Solutions Limited
IVRCLINFRA,"IVRCLINFRA.NS,0P0000BYFY,0"
BHUSHAN,Bhushan Steel
CAMPUS,CAMPUS ACTIVEWEAR LIMITED
BIOCON,BIOCON LIMITED.
PFOCUS,Prime Focus Limited
SABTN,Sri Adhikari Brothers
CCCL,CONS. CONST. CONSORT LTD
ASHOKLEY,ASHOK LEYLAND LTD
SHARONBIO,Sharon Bio-Medicine
HUDCO,HSG & URBAN DEV CORPN LTD
GEODESIC,Geodesic Limited
IOC,INDIAN OIL CORP LTD
FRETAIL,Future Retail
BHEL,BHEL
HDIL,HOUSING DEV & INFRA LTD
ALOKINDS,ALOK INDUSTRIES LIMITED
PHOENIXLTD,THE PHOENIX MILLS LTD
MAHLOG,MAHINDRA LOGISTIC LIMITED
EASTSILK,EASTERN SILK INDUSTRIES L
SYNGENE,SYNGENE INTERNATIONAL LTD
NITINFIRE,"NITINFIRE.NS,0P0000CAP1,0"
GAMMONINFRA,Gammon Infrastructure
SANOFI,SANOFI INDIA LIMITED
DIVISLAB,DIVI S LABORATORIES LTD
BRIGADE,BRIGADE ENTER. LTD
RELAXO,RELAXO FOOT LTD.
OMKARCHEM, OMKAR SPL CHEM LTD 
ERAENVIRO,Era Infra Engineering
HAL,HINDUSTAN AERONAUTICS LTD
GLENMARK,GLENMARK PHARMACEUTICALS
CYIENT,CYIENT LIMITED
KOUTONS,Koutons Retail
BGRENERGY,BGR ENERGY SYSTEMS LTD
ENIL,ENTERTAIN NET. IND. LTD.
LITL, Lanco Infratech 
SUNTV,SUN TV NETWORK LIMITED
3MINDIA,3M INDIA LIMITED
MOSERBAER,Moser Baer India
TEJASNET,TEJAS NETWORKS LIMITED
TTKPRESTIG,TTK PRESTIGE LTD
SUMICHEM,SUMITOMO CHEM INDIA LTD
INDUSTOWER,INDUS TOWERS LIMITED
THERMAX,THERMAX LTD
CEATLTD,CEAT LIMITED
GITANJALI,Gitanjali Gems
RATNAMANI,RATNAMANI MET & TUB LTD.
METROPOLIS,METROPOLIS HEALTHCARE LTD
AMBER,AMBER ENTERPRISES (I) LTD
RAJRAYON,Raj Rayon Industries
SEYAIND, SEYA INDUSTRIES LIMITED 
ACC,ACC LIMITED
HDIL,HOUSING DEV & INFRA LTD
DQE,"DQE.NS,0P0000TIZW,0"
MTEDUCARE,MT EDUCARE LIMITED
OIL,OIL INDIA LTD
EICHERMOT,EICHER MOTORS LTD
PRESTIGE,PRESTIGE ESTATE LTD
UPL,UPL LIMITED
CASTEX,Castex Technologies
SURYAPHARM,Surya Pharmaceutical
RATEGAIN,RATEGAIN TRAVEL TECHN LTD
VRLLOG,VRL LOGISTICS LIMITED
RCOM,RELIANCE COMMUNICATIONS L
PRAJAY,Prajay Engineers Syndicate Limited
KPRMILL,KPR MILL LTD.
BSOFT,BIRLASOFT LIMITED
TORNTPHARM,TORRENT PHARMACEUTICALS L
COX&KINGS,Cox & Kings
RNAVAL,"RNAVAL.NS,0P0000N0EK,0"
RUCHISOYA,Ruchi Soya Industries
IVRCLINFRA,IVRCLINFRA Limited
COCHINSHIP,COCHIN SHIPYARD LIMITED
BRITANNIA,BRITANNIA INDUSTRIES LTD
DQE,DQ Entertainment (International) Limited
MCLEODRUSS,MCLEOD RUSSEL INDIA LTD.
HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD
ASTRAZEN,ASTRAZENECA PHARMA IND LT
TCIEXP,TCI EXPRESS LIMITED
SOBHA,SOBHA LIMITED
BAYERCROP,BAYER CROPSCIENCE LTD
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD
JSWSTEEL,JSW STEEL LIMITED
BCG,Brightcom Group Limited
KALYANKJIL,KALYAN JEWELLERS IND LTD
GVKPIL,GVK POW. & INFRA LTD.
CIPLA,CIPLA LTD
ZEELEARN,Zee Learn Limited
SUNPHARMA,SUN PHARMACEUTICAL IND L
SUZLON, SUZLON ENERGY LIMITED 
APLAPOLLO,APL APOLLO TUBES LTD
OBEROIRLTY,OBEROI REALTY LIMITED
ZYDUSWELL,ZYDUS WELLNESS LIMITED
EROSMEDIA,EROS INTL MEDIA LTD
GODREJPROP,GODREJ PROPERTIES LTD
HANUNG,Hanung Toys
MINDAIND,Uno Minda
HEROMOTOCO,HERO MOTOCORP LIMITED
PIDILITIND,PIDILITE INDUSTRIES LTD
M&M,MAHINDRA & MAHINDRA LTD
DMART,AVENUE SUPERMARTS LIMITED
ALOKINDS,Alok Industries Ltd
SADBHAV,SADBHAV ENGINEERING LTD
SJVN,SJVN LTD
LEEL,"LEEL.NS,0P0000BH66,0"
ESCORTS,ESCORTS KUBOTA LIMITED
FORCEMOT,FORCE MOTORS LIMITED
NMDC,NMDC LTD.
GRINDWELL,GRINDWELL NORTON LIMITED
COALINDIA,COAL INDIA LTD
PETRONET,PETRONET LNG LIMITED
DBCORP,D.B.CORP LTD
JKCEMENT,JK CEMENT LIMITED
JBFIND,"JBFIND.NS,0P0000BJLZ,0"
SKUMARSYNF,S Kumars Nationwide
RICOHIND,Ricoh India
TATAMOTORS,Tata Motors
NLCINDIA,NLC INDIA LIMITED
GUJALKALI,GUJARAT ALKALIES & CHEM
EDUCOMP,EDUCOMP SOLUTIONS LTD
HINDPETRO,HINDUSTAN PETROLEUM CORP
PATELENG,PATEL ENGINEERING LTD.
MIRC,MIRC Electronics Limited
SKFINDIA,SKF INDIA LTD
ONGC,OIL AND NATURAL GAS CORP.
JMTAUTO,JMT Auto
SINTEX, Sintex Industries 
BLUEDART,BLUE DART EXPRESS LTD
GRASIM,GRASIM INDUSTRIES LTD
HONAUT,HONEYWELL AUTOMATION IND
ABB,ABB INDIA LIMITED
APOLLOHOSP,APOLLO HOSPITALS ENTER. L
FINCABLES,FINOLEX CABLES LTD
BYJUS,Think & Learn Pvt Ltd (Byju's)
IDEA,VODAFONE IDEA LIMITED
NATHBIOGEN,NATH BIO-GENES (I) LTD
IVRCLINFRA,"IVRCLINFRA.NS,0P0000BYFY,0"
PUNJLLOYD,Punj Lloyd
CHAMBLFERT,CHAMBAL FERTILIZERS LTD
KSK,KSK Energy Ventures
PVRINOX,PVR INOX LIMITED
BINANIIND,Binani Industries
OPTOCIRCUI,Opto Circuits
ALKEM,ALKEM LABORATORIES LTD.
INDIAMART,INDIAMART INTERMESH LTD
LUPIN,LUPIN LIMITED
BOMBAYRAYON,Bombay Rayon
TRIDENT,TRIDENT LIMITED
BALLARPUR,"BALLARPUR.NS,0P0000C2S8,0"
ARSSINFRA, ARSS INFRA PROJ. LTD 
TUBEINVEST,Tube Investments
COROMANDEL,COROMANDEL INTERNTL. LTD
SHREECEM,SHREE CEMENT LIMITED
EQUITAS,Equitas Holdings
HDIL, Housing Development & Infra 
HOEC,Hindustan Oil Exploration
TATAELXSI,TATA ELXSI LIMITED
